ID,Problem,Priority and evidence,Scenario and impact,Build response,Acceptance test,Status,Proposed owner
P16,Provider outages trigger retry storms or unsafe fallback,P1 • H; distributed-systems context S10 • PDF p1,Rate limits create cascading retries; fallback sends private prompts to an unapproved provider or weaker model.,"Deadlines, capped jittered retries, concurrency limits and an explicit provider/data-policy matrix. Re-evaluate quality before promoting fallback.",Inject timeouts and rate limits. Queue growth and spend remain bounded; disallowed provider fallback never occurs.,Open,Solo builder
P17,Concurrent agents exceed the run budget,"P0 • H • PDF p1, p3",Several calls each see enough remaining balance and jointly overspend; recursion continues indefinitely.,"Atomic reservations before calls, maximum output sizes, step/depth/deadline caps, and conservative pricing estimates.",Concurrently request the final budget balance. Admitted reservations remain within the cap; track delayed billing separately from enforcement.,Open,Solo builder
P18,Rollback or replay creates further harm,"P0 • H • PDF p2, p3","Replaying an incident sends another message, or a rollback overwrites a newer human change.",Playback uses recorded results; re-execution uses isolated fixtures. Compensation is an explicit action with fresh approval and state preconditions.,Replay performs zero external writes; compensation against a changed revision refuses and escalates.,Open,Solo builder
P19,Retrieval returns stale or unauthorized evidence,"P0 • G/H: S19 • PDF p1, p2",A revoked document remains in the index; an old runbook recommends a now-dangerous action.,"Check scope at retrieval time, retain document/chunk versions and freshness, and invalidate deleted/revoked material and caches.","Revoke a document after indexing and replace a runbook. Search, cache, evidence export and citations must respect the new access state.",Open,Solo builder
P20,Citations exist but do not support claims,P1 • H • PDF p3,A confident incident diagnosis links to a real but irrelevant runbook.,"Use claim-to-source-span mapping, support judgments, contradictory-source handling and abstention for missing evidence.",Include plausible irrelevant and contradictory citations; score coverage and actual support separately with human-audited labels.,Open,Solo builder
P21,Similar requests produce inconsistent outcomes,P1 • B: S05 • PDF p1,The same incident receives a correct diagnosis once and an unsupported change recommendation later.,"Version all dependencies, repeat each task, and test final state and policy compliance across runs.",Run each held-out scenario five times per selected configuration; report mean success and fraction of tasks succeeding on all five attempts.,Open,Solo builder
P22,A detector blocks legitimate work,"P1 • B/G: S04, S07 • PDF p3",Log lines discussing attacks are treated as attacks; security improves only because the agent refuses everything.,Separate hard authorization from probabilistic detection; calibrate with matched benign and adversarial cases.,"Publish attack success, benign false-block rate and useful task completion together. An all-deny configuration is a failed product baseline.",Open,Solo builder
P23,Benchmarks overstate security,"P1 • B: S04, S06 • PDF p3","Developers tune against known strings, while unseen multi-step attacks succeed.","Freeze a held-out suite split by scenario/source, include adaptive paraphrases and retain failures; keep attack tuning away from release labels.",Evaluate held-out attacks at fixed budget and report confidence intervals by family. Do not count repeated variants as independent proof of safety.,Open,Solo builder
P24,The grader trusts the agent's story,"P1 • B/H: S05 • PDF p1, p3","An LLM judge marks success because the answer says the operation completed, even though the database disagrees.",State assertions first; structured output checks second; human-calibrated language judges only for semantic criteria.,Supply persuasive false success messages and judge-targeting text. Final-state assertions must fail them regardless of narrative quality.,Open,Solo builder
P25,Observability becomes a secret store,"P0 • G/H: S14 • PDF p1, p2","Full prompts, tool arguments and retrieved text appear in logs accessible to more people than the source data.","Metadata-only telemetry by default; sanitized payload references, restricted encrypted debug capture, retention and deletion rules.","Seed fake credentials in every stage. Ordinary traces, errors, backups and exports must not contain them; privileged captures have explicit access controls.",Open,Solo builder
P26,Audit evidence is missing or editable,P1 • G/H: S13 • PDF p1,"An operator cannot tie a write to an approval, or the same administrator can rewrite its entire evidence history.","Durable pre-action records, append-only application permissions, hash-linked entries and periodic off-host signed checkpoints.",Delete/reorder/modify an event and validate against a retained independent checkpoint. Report that a compromised host/key can still undermine evidence.,Open,Solo builder
P27,"SDK, model or telemetry changes break enforcement","P1 • G: S08, S14 • PDF p1","Streaming arguments execute before validation, an adapter drops scope, or an exporter changes attribute meaning.","Pin tested versions, normalize complete requests, reject unknown capabilities and run contract tests for every upgrade.",Fragment tool calls across stream chunks and change tool schemas. No execution before complete validation; exporter migrations preserve required fields.,Open,Solo builder
P28,The control plane becomes an availability bottleneck,"P1 • H • PDF p1, p2","Slow evaluation, a full disk or an unavailable database prevents incident support when it is needed most.",Keep grading asynchronous; bound queues and payloads; reserve disk; expose readiness and explicit degraded states. Retain a human manual workflow.,"Fill storage, slow dependencies and overload the queue in staging. Deny unrecordable writes, preserve committed evidence, and show an actionable error.",Open,Solo builder
P29,Backups exist but cannot restore service,"P1 • H • PDF p1, p3","A single low-cost host fails and backups lack encryption keys, policy versions or a consistent ledger.","Encrypted off-host backups, documented key custody and restore drills; reconcile external actions after restoring an older ledger.",Restore to a clean instance and replay fixtures. Verify evidence integrity and ensure restored pending jobs cannot recreate external effects.,Open,Solo builder
P30,Compliance and procurement exceed the product's claims,P1 • G/H: S13 • PDF p3,"A pilot requires data residency, retention, subprocessor disclosure or access controls that the builder cannot demonstrate.","Document data inventory, destinations, retention, access and deletion; agree pilot restrictions. Obtain jurisdiction-specific review only when needed.",Produce a data-flow inventory and a deletion/export demonstration. Do not label the product certified or compliant from a framework mapping alone.,Open,Solo builder
P31,Integration costs exceed customer value,"P1 • H; overlap documented in S15, S16 • PDF p3",Each customer requires custom adapters and already has a dashboard; no one pays for the additional control layer.,"Interview operators, integrate one fixed workflow, compare against their current process and track setup/maintenance time.","Proposed discovery gate: five interviews, two concrete workflow commitments, one deployer other than the builder. These are decision rules, not measured demand.",Open,Solo builder
P32,The solo builder cannot operate the proposed stack,"P0 • H • PDF p2, p3","Kubernetes, multiple data stores, GPU inference and many adapters consume the schedule before the first user succeeds.","One modular service, one worker, PostgreSQL, fixed tools and minimal UI; local-first, no GPU requirement, one tenant per pilot instance.",A fresh user follows the documented local setup and runs the fixture demo without external paid credentials. Measure setup time; reduce scope when it exceeds the proposed 30-minute target.,Open,Solo builder
